metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
aic,topk,0.01,0.0,0.025,0.2636,False
aic,mmr,-0.005,-0.035,0.02,0.8764,False
aic,focused,0.01,0.0,0.025,0.2636,False
f1,topk,-0.004029068120473683,-0.009263225499990205,-0.0001884774143625458,0.0328,True
f1,mmr,-0.0022632581805309814,-0.008642427964010794,0.004285884634186256,0.4704,False
f1,focused,-0.0020374449538536226,-0.007698320330054077,0.0032249103550961128,0.4584,False
em,topk,0.0,0.0,0.0,1.0,False
em,mmr,0.0,0.0,0.0,1.0,False
em,focused,0.0,0.0,0.0,1.0,False
