metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
aic,topk,0.045,0.01,0.085,0.022,True
aic,mmr,0.06,0.01,0.11,0.03,True
aic,focused,0.02,-0.01,0.05,0.27,False
f1,topk,-0.004269674736540093,-0.02288751786016863,0.014684473077179938,0.6312,False
f1,mmr,-0.007029608294925538,-0.02556483708948686,0.010976856916811663,0.4296,False
f1,focused,0.0013364512831830317,-0.01689556733044636,0.020161425577894163,0.91,False
em,topk,0.0,-0.015,0.015,1.0,False
em,mmr,0.0,-0.015,0.015,1.0,False
em,focused,0.0,-0.015,0.015,1.0,False
