metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
aic,topk,0.0,0.0,0.0,1.0,False
aic,mmr,-0.005,-0.015,0.0,0.7196,False
aic,focused,0.0,0.0,0.0,1.0,False
f1,topk,-0.004272970559498074,-0.009505138022310696,-0.00045143745143745096,0.018,True
f1,mmr,-0.0006296879464172688,-0.005848756654442744,0.0051642968012563795,0.7688,False
f1,focused,-0.0020374449538536226,-0.007698320330054077,0.0032249103550961128,0.4584,False
em,topk,0.0,0.0,0.0,1.0,False
em,mmr,0.0,0.0,0.0,1.0,False
em,focused,0.0,0.0,0.0,1.0,False
