metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
aic,topk,-0.01,-0.045,0.025,0.6664,False
aic,mmr,-0.03,-0.08,0.015,0.2472,False
aic,focused,-0.005,-0.03,0.02,0.8584,False
f1,topk,-0.008272113407487892,-0.019504551026195926,0.0027603170502498923,0.1304,False
f1,mmr,-0.022306392669377253,-0.0451238472610971,-0.0017658624907112759,0.0344,True
f1,focused,-0.0035218987178140273,-0.012332358835029615,0.005162152586918391,0.414,False
em,topk,0.0,0.0,0.0,1.0,False
em,mmr,-0.005,-0.025,0.01,0.776,False
em,focused,0.0,0.0,0.0,1.0,False
