metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
aic,topk,0.015,-0.02,0.05,0.4724,False
aic,mmr,0.02,-0.03,0.07,0.5,False
aic,focused,0.01,-0.02,0.04,0.6536,False
f1,topk,-0.00467073945726697,-0.015522403855468372,0.006898960582973847,0.3916,False
f1,mmr,-0.007375959228680565,-0.017122739558490783,0.0016864088374046072,0.1136,False
f1,focused,-0.002673309089717758,-0.013902019140989728,0.009135109628646772,0.6132,False
em,topk,0.0,0.0,0.0,1.0,False
em,mmr,0.0,0.0,0.0,1.0,False
em,focused,0.0,0.0,0.0,1.0,False
